0,780
0,885
1,795
1,872
1,723
1,1262
2,409
2,620
3,688
4,434
4,1071
4,1234
5,707
5,1018
5,1220
6,869
7,881
8,27
8,674
8,1228
8,605
8,1001
9,1077
9,1077
10,839
10,1286
11,429
12,473
13,482
13,98
13,1293
13,730
13,1092
13,1290
14,777
15,786
16,1193
17,24
17,1223
18,611
18,689
19,852
19,609
19,1005
20,467
21,803
22,851
23,1179
24,1038
24,1059
25,1139
26,93
26,1088
27,7
27,7
27,407
27,407
27,804
27,804
28,781
29,93
29,1088
29,11
29,1214
29,27
29,674
29,1228
30,1295
31,1052
32,766
33,1252
34,417
34,653
35,771
36,894
36,894
37,97
38,459
38,1133
39,798
39,1073
39,1269
39,98
39,1293
40,48
40,1245
40,803
41,792
42,429
43,73
43,1067
43,32
43,1030
43,456
43,605
43,1001
44,820
44,1243
44,856
44,844
